Date,N_valid,Mean,Median,Std,Min,Max
2005-09-09,1672,0.23032017899678514,0.17189495907806718,0.32397591260815795,-0.601473261541907,2.0641626209512642
2005-09-16,1677,0.20530814614558315,0.154089966304922,0.3035694343956674,-0.5967399441589016,2.2213527700793088
2005-09-23,1683,0.20705774537424537,0.1546199562651427,0.2996358912730795,-0.6098192101045026,2.137971218957311
2005-09-30,1680,0.1955966933812238,0.14081908038854551,0.30899119628506444,-0.6092612166058622,2.6304027459820034
2005-10-07,1677,0.23153350445484308,0.17405758982024633,0.3201569288862849,-0.6063329404531512,2.5710051446699644
2005-10-14,1678,0.23712350135785193,0.1794834993257921,0.3216848067743728,-0.6126572925044287,2.412814943547729
2005-10-21,1693,0.2144318916227814,0.1589568351346704,0.32102867806287116,-0.5888376115423009,2.5587502509191076
2005-10-28,1698,0.20552302869593986,0.1470503830796147,0.3331981503754274,-0.5500612507112799,2.630646168002333
2005-11-04,1703,0.12802745035139637,0.07929003953743452,0.29532460701924296,-0.6842828122408656,2.360341511010424
2005-11-11,1705,0.08191973399453253,0.048421800322553166,0.2744693562368709,-0.6990522443885185,1.9496907388490947
2005-11-18,1707,0.0910603332126499,0.06078730598559123,0.26939678698287534,-0.6995286082505339,1.744522174873595
2005-11-25,1720,0.07462995044283124,0.04260570631257432,0.2703327697157546,-0.8079822806145357,1.7043347735182226
2005-12-02,1725,0.09622987802908389,0.0537738102659413,0.28551345301907527,-0.8096406907378996,1.7931145453881094
2005-12-09,1732,0.117633669970119,0.08083419068334985,0.285681291045534,-0.8103685301136955,1.92588495121448
2005-12-16,1729,0.11198833287050301,0.06812377791119317,0.28211422914653217,-0.7719208869868297,1.9899502858055573
2005-12-23,1733,0.11791743280719101,0.0690730753660107,0.2891218112170679,-0.7806461543114691,1.9215956552373412
2005-12-30,1745,0.11816057596424896,0.06851463589934714,0.29313207958870724,-0.7836242366698197,2.049066088166722
2006-01-06,1749,0.17032129710592644,0.11375903491931094,0.3191354443606322,-0.7730414981437158,2.350820337647988
2006-01-13,1754,0.1570792197623632,0.10968703356854181,0.3030649652987418,-0.7716961694817261,2.170868647896597
2006-01-20,1764,0.17351760869998129,0.12118524774487349,0.31380149581099326,-0.7491325631368709,2.074718418875735
2006-01-27,1774,0.15276044769569397,0.10313228615598724,0.30095397906556176,-0.7411955562207198,2.045601014554029
2006-02-03,1767,0.14635793194185626,0.09272275839604016,0.30502415782045667,-0.731863809758027,2.0260614342784042
2006-02-10,1772,0.1525704749473744,0.0971424036900439,0.30788956275697693,-0.7514960356559395,1.9386973098273321
2006-02-17,1775,0.14976315216790137,0.09636254882534545,0.31792457844768846,-0.7369521831875749,3.4839503394472144
2006-02-24,1788,0.16973347006205305,0.11650575184607392,0.32181379856690034,-0.7120831447817104,3.446541805713836
2006-03-03,1786,0.14516289342001887,0.09014507696411944,0.31826246098928984,-0.716416108733111,2.8364474584267594
2006-03-10,1787,0.1605930524334147,0.10307875240673514,0.31689572440359076,-0.6786350144495845,2.8387839679844227
2006-03-17,1792,0.18933264689046694,0.13619758385752068,0.32717800063353725,-0.5869611152473078,3.09966000907999
2006-03-24,1801,0.21296106286837246,0.16243286677586055,0.34016649530455867,-0.6027726290767057,3.537211783709135
2006-03-31,1807,0.21652307669444001,0.15902906230195946,0.35618354081838577,-0.5663694513070334,3.8106751750314602
2006-04-07,1806,0.19861000700581044,0.1487475386600643,0.33105893641699713,-0.641770447363682,3.6356150764141573
2006-04-14,1811,0.28621009099141326,0.220673142682289,0.3767479417673405,-0.6629978815717839,4.430409930291536
2006-04-21,1814,0.2748939768486555,0.20973059739396505,0.3732565073289272,-0.6479247694707163,4.3654090187936285
2006-04-28,1830,0.30004424690689024,0.21489546649830726,0.40157269582769983,-0.5981615873138176,4.773564980682804
2006-05-05,1827,0.2628334109167201,0.17639592962357642,0.3880297108018128,-0.5968540656118897,4.150342893954522
2006-05-12,1836,0.2809552957948051,0.18683398441853827,0.40627125151198223,-0.5731716268873621,4.7914987986457405
2006-05-19,1833,0.26009762995940855,0.16251484606805722,0.41236103379354533,-0.5807961582467526,5.558720198799626
2006-05-26,1834,0.23757988167535002,0.16035868096935058,0.389576371705456,-0.5525959243113565,6.034980544353461
2006-06-02,1838,0.2570642680221774,0.1672771389724308,0.41277931429010795,-0.562840467240768,6.059445259140433
2006-06-09,1838,0.2024201418068344,0.12607257468245558,0.3845692876592904,-0.5560961008909288,5.9437580859967
2006-06-16,1839,0.1419324485031301,0.08350007309519825,0.33013442137289956,-0.5651524038889347,4.413998038455121
2006-06-23,1843,0.1773062624818448,0.11309178203102177,0.3519704189256259,-0.5780128931573094,4.9662327104562936
2006-06-30,1844,0.1717594454740299,0.11241673977935063,0.3510943324803861,-0.5866505201453316,4.658374820948404
2006-07-07,1842,0.09745890807713047,0.05488065218976079,0.29717436005150333,-0.6182497368778548,3.360533537037689
2006-07-14,1839,0.08258793997233545,0.04699048910334258,0.2957634811878467,-0.6575010594074923,3.8192770700360477
2006-07-21,1833,0.06299077176486874,0.026661042241597377,0.2864634309267509,-0.6301354822283346,3.2650058413585326
2006-07-28,1834,0.09254183769095452,0.050971853166275616,0.30632941832996163,-0.6209159979872927,3.2944610953695452
2006-08-04,1832,0.09378746267360942,0.05894484735498873,0.2959316098840982,-0.615011935311818,3.0517377870077986
2006-08-11,1822,0.05691145855270541,0.03204913494084749,0.2696114642283188,-0.6167234216302204,2.2811682723189395
2006-08-18,1823,0.05488559645002048,0.03967704402930816,0.260279736617549,-0.6605005594897518,2.0964225335972277
2006-08-25,1830,0.10346583025761066,0.07965246512965629,0.28879057837270045,-0.6539481600845715,2.669091901191656
2006-09-01,1832,0.08920022822346786,0.06495720896176405,0.2781460750931271,-0.6657778416113459,2.480048373202602
2006-09-08,1831,0.042465103017317055,0.02733336237904438,0.2610916601488527,-0.7207671688717268,1.9122204839830075
2006-09-15,1831,0.08971594557088719,0.06777431325007788,0.266957224607137,-0.6947035027627521,2.1951228429972125
2006-09-22,1830,0.09561744254732175,0.07726360708894309,0.2666320193513832,-0.663781419766898,1.8805110222011039
2006-09-29,1903,0.10685577647328706,0.08697801780729764,0.2681918342069226,-0.667957040921781,1.893363306368471
2006-10-06,1849,0.12710575419777048,0.10482766397264687,0.27067990648119267,-0.6426238831341691,2.1515959822220614
2006-10-13,1851,0.17301241831289482,0.14265054332560134,0.28082929615827557,-0.6410448854687156,2.2639732437501348
2006-10-20,1859,0.16028682186514834,0.1383626843099408,0.2738461216032198,-0.6409519003722486,2.1269918276136965
2006-10-27,1870,0.1683670718320419,0.13578204494714874,0.2762127739027579,-0.664784369352932,1.967895473763217
2006-11-03,1872,0.14663727283099373,0.12269779583667184,0.27033096568135184,-0.6365824652037076,2.074368585827834
2006-11-10,1872,0.1611759333525167,0.12934690261147586,0.2712982601993003,-0.5915988825799432,2.124865577849196
2006-11-17,1871,0.14431811551571333,0.11766587601816192,0.26534469612660716,-0.640281307970284,2.1348581319125177
2006-11-24,1871,0.13292726133650987,0.10961978701132957,0.2631909121381481,-0.618156986635013,2.30473313090929
2006-12-01,1868,0.11085820498639434,0.09240563742644525,0.25700015677290255,-0.6146367951884555,2.148407389095993
2006-12-08,1865,0.13506955971556686,0.11682001183925972,0.26184498811486373,-0.6244921323466247,2.0958950447716314
2006-12-15,1878,0.16371131943510644,0.14025543940457175,0.2741323468684548,-0.6261672249385781,2.295765174129566
2006-12-22,1878,0.16630173418313418,0.13299924978004807,0.2739395797494038,-0.5983553064510243,2.038642232474139
2006-12-29,1882,0.17392178159172608,0.1417518104007791,0.2731767773501761,-0.6035714713023097,2.071072319243637
2007-01-05,1878,0.1499781833415418,0.12036403476767343,0.2717541531588682,-0.5774168490390268,2.225491472704534
2007-01-12,1876,0.14301120537396209,0.11894755282465508,0.2644015113690703,-0.5501889400176114,1.9346584336888442
2007-01-19,1879,0.13601428097984694,0.11615891224818653,0.259739102467282,-0.5541420901349939,1.5200166205044683
2007-01-26,1877,0.10956363765084179,0.09394901794327537,0.24516219301685824,-0.5746341284922849,1.4460396289202104
2007-02-02,1874,0.10822740445570223,0.09122564669329225,0.24533660226524923,-0.5650131434955843,1.6402302780072584
2007-02-09,1872,0.1396466361634971,0.11491839873869181,0.25668453445578465,-0.5984666775832364,1.6044827493772758
2007-02-16,1871,0.11378360537736557,0.09475397564051202,0.2463769002990275,-0.5886558211111135,1.4709844335195421
2007-02-23,1869,0.10904260784719172,0.09091756728479394,0.2470313507449476,-0.599997189968527,1.4802034820189784
2007-03-02,1865,0.13575433527455494,0.11736103153617972,0.24667637273656232,-0.6133549857465919,1.371706988783696
2007-03-09,1859,0.14774115202821328,0.13050113861706558,0.24903321723781874,-0.61878819272914,1.808389567939304
2007-03-16,1865,0.13549012903749705,0.11390779067148649,0.2472254325283167,-0.6080765602065803,1.7405923425543364
2007-03-23,1864,0.14001834164467689,0.11632565132096873,0.24913549428739754,-0.6181169118898253,1.9287177299017277
2007-03-30,1864,0.0706597143513084,0.0554590575006374,0.23325769785205488,-0.6288238042841432,2.0602743665662744
2007-04-06,1860,0.09021370568828413,0.07652439657020405,0.24554692323240893,-0.635376941121945,2.098517541350372
2007-04-13,1860,0.08891429500314914,0.07511541783774056,0.24820003501204316,-0.6067734158022169,2.1177914809995655
2007-04-20,1859,0.10286932562545363,0.08635741916229911,0.249285899436587,-0.6381126610312782,1.7834742520684652
2007-04-27,1855,0.09552298509391316,0.08292453478735506,0.2437452713020086,-0.6360103313658254,1.8574542971703227
2007-05-04,1852,0.09250171408149492,0.08086495131271043,0.2449297441196974,-0.6264970590770936,1.9721539315602015
2007-05-11,1850,0.14045148773992042,0.12702457692115976,0.2511217335991324,-0.6404315997676597,2.0348926966710623
2007-05-18,1847,0.18430196402379978,0.16604547688857818,0.2581316520799757,-0.5948574654633271,2.1180574271627375
2007-05-25,1847,0.18286892383461267,0.16641864139956852,0.2641058053368852,-0.5554117820824056,2.2042226624748054
2007-06-01,1842,0.17301026201616218,0.15366153106001956,0.260174752711409,-0.5505030345116717,2.092419572839199
2007-06-08,1838,0.21959570859533656,0.19088222470806548,0.2805948060699558,-0.5142930522195246,2.1348354010833495
2007-06-15,1845,0.2290281705345935,0.20245650922153424,0.28369049418281495,-0.5271040970527372,2.009414808228419
2007-06-22,1844,0.23298509305748732,0.2002225094443283,0.27937555376783574,-0.5274420846711751,2.1336131717780282
2007-06-29,1843,0.22450407715224455,0.1934481168111366,0.2810342588460238,-0.5503969293738225,2.2548450769700974
2007-07-06,1838,0.21921375430493775,0.18082604372940758,0.28370968130706314,-0.46121268511222313,2.3140108787028693
2007-07-13,1839,0.2818199521112431,0.2290797179760231,0.3074831857213214,-0.4265947663456222,2.535400544652447
2007-07-20,1843,0.28195343562464453,0.22483178727585296,0.3262239818771753,-0.4184866050237841,2.774593216961438
2007-07-27,1829,0.23727063965419093,0.18608846122195977,0.30764356885445027,-0.42483364249387523,2.4632219982563313
2007-08-03,1810,0.2651198182269236,0.20895065672634394,0.3227200183197043,-0.44091648071244893,3.192213866756049
2007-08-10,1814,0.30837581283031723,0.2447007242535153,0.34833941527279266,-0.44278907257804856,3.5404817747158708
2007-08-17,1807,0.23430109048042777,0.17766387240187975,0.32722556346058923,-0.4922087807866231,3.1794525033850505
2007-08-24,1815,0.17676832305817505,0.12354085642456636,0.3107708884985252,-0.5441567665737391,2.3346995240180974
2007-08-31,1814,0.12014417431196919,0.07747809086312363,0.30306519008530164,-0.6253961419803133,1.982216647806549
2007-09-07,1816,0.16427031971173972,0.11902403297782316,0.3018896733744728,-0.6651622591211888,1.7969425289899084
2007-09-14,1812,0.12570624540794365,0.09418849507720484,0.28152633765376556,-0.6841788973329184,1.7537372219943186
2007-09-21,1813,0.1692178040734725,0.12117170840705538,0.32087923055035494,-0.6370938070172659,2.3461015838472736
2007-09-28,1859,0.1579767989825902,0.10558097825769241,0.3306182273722584,-0.7053440111591311,2.71875940079951
2007-10-05,1851,0.12319883956973028,0.07511329662111077,0.3228609117688719,-0.7097546790332622,2.4696908693412776
2007-10-12,1846,0.11059839371139148,0.06421265052827563,0.31780849696957136,-0.6659740188212083,2.4235366821261564
2007-10-19,1840,0.14664409717921917,0.09506980628239892,0.33765240599707685,-0.6832584583681565,2.958799517841284
2007-10-26,1831,0.13343963718096388,0.08296289638009235,0.3395158636690913,-0.7035490585981679,2.802596711020327
2007-11-02,1819,0.18952813354218775,0.14014524934289319,0.34300550608588093,-0.6447449759556898,2.617834785539027
2007-11-09,1809,0.16539868006526726,0.11428133197040546,0.3473038140008529,-0.7290723584744624,2.609011610057002
2007-11-16,1800,0.09199238659312879,0.04476766229165419,0.33903091898958354,-0.7451245832388427,2.6451012819213977
2007-11-23,1788,0.1122784340822522,0.060311361304940414,0.3576697181114481,-0.7738727589194445,2.744044707979907
2007-11-30,1787,0.09817223118694188,0.044647909742073555,0.3591377736648445,-0.8158460963838983,2.9781333758583326
2007-12-07,1782,0.04849464358678712,0.010386303545892761,0.3409974108115914,-0.7666780509430524,2.995407003707193
2007-12-14,1778,0.0423702423291231,0.0077126595359566785,0.3307260719925221,-0.7666072441158114,2.542982043164362
2007-12-21,1771,0.04193318467100131,0.005120449562182827,0.33393658344008487,-0.8033308899920998,2.300744971577793
2007-12-28,1770,0.06346332452663209,0.02384510902394288,0.35404508704272186,-0.7948380844724494,2.554267788307564
2008-01-04,1745,0.10717003649046467,0.0494722974330728,0.38491493554557904,-0.8211452665111476,2.907519387356859
2008-01-11,1728,0.04784825158883761,-0.003090980497742868,0.37376269994735517,-0.8453326291183401,2.7472581873613815
2008-01-18,1712,0.08185032248988663,0.029848551223596753,0.38938374383256646,-0.8505060732863765,3.099789285632707
2008-01-25,1709,0.0675371117687278,0.009731985995264925,0.39504674098038195,-0.8517685050762933,3.8043099910239064
2008-02-01,1711,-0.018419095425586045,-0.06298923531971312,0.3696574956911756,-0.8671717742808562,3.576261514413761
2008-02-08,1706,-0.038802061836810335,-0.08358167684196627,0.3545837616112687,-0.8705485026623817,3.6733392305159853
2008-02-15,1704,-0.10136834825966173,-0.13311832923253836,0.31126454385922486,-0.9312095002621052,2.1717801290440835
2008-02-22,1703,-0.09425831809539971,-0.12200053554857349,0.29604717392610463,-0.8949126956204091,2.4531280947240393
2008-02-29,1697,0.01608191474517699,-0.022448568683030135,0.32160662367915704,-0.8777473724577021,2.7904522144628703
2008-03-07,1684,-0.03253241111807369,-0.06495723451233487,0.31684787488007665,-0.8991219673386832,2.617861059495188
2008-03-14,1698,-0.0153953945704593,-0.05648738498935818,0.3388251366338111,-0.9023651343488818,3.2585783172508895
2008-03-21,1695,-0.05254004319793279,-0.09323494958863965,0.3262592074190288,-0.8996262598482998,2.940865420875688
2008-03-28,1695,-0.05483181353998878,-0.09467793073548902,0.3315939489262829,-0.8942550007241719,3.174959282185081
2008-04-04,1693,-0.10083002661705089,-0.13766579952785662,0.3152962878414371,-0.9092875214667259,2.610803151436598
2008-04-11,1685,-0.10649672566453058,-0.13962091859519232,0.31158215729204614,-0.9414321330504434,2.5448839196492896
2008-04-18,1682,-0.10192461033269318,-0.1276957819393718,0.2975720287863114,-0.9588260695272314,2.1773777120353053
2008-04-25,1678,-0.1078753511181023,-0.13619011169289952,0.3050930618130958,-0.9386236882602087,2.5934348307634782
2008-05-02,1676,-0.0682823541682944,-0.09753828649567159,0.32216923299333733,-0.9404604603787887,3.1680319448078764
2008-05-09,1674,-0.09581750739842533,-0.12429117770720138,0.3217121478383709,-0.94137277904897,3.126711015654509
2008-05-16,1674,-0.05533316943764714,-0.08719948969785052,0.3407859677603965,-0.9366565694061805,3.507948234643367
2008-05-23,1670,-0.05309866434353396,-0.08152650692257696,0.33329992342566167,-0.9340824603255148,3.3203745123285575
2008-05-30,1666,-0.06910836915747819,-0.09079426636055693,0.31171701158902815,-0.9362910298837692,3.0524164480102565
2008-06-06,1662,-0.05087459748989368,-0.08581136847771104,0.3357526795045329,-0.8708579994579213,2.994861857785125
2008-06-13,1675,-0.03890345928726603,-0.06868366027852402,0.33420520878229076,-0.8638196149905867,2.984876542828384
2008-06-20,1673,-0.04966504961570171,-0.07992715672070527,0.3348228991070305,-0.8937267502606452,2.7857667987905885
