Stock_Index,Stock_Name,Weeks_Listed,First_Listed,Last_Listed
3249,Kramont Realty Trust,27,2004-02-27,2005-04-29
1013,Capitol American Financial Corporation,27,1996-08-30,1997-02-28
6316,"Xomed Surgical Products, Inc.",27,1999-04-30,1999-11-05
6298,Wyndham Hotel Corporation,27,1997-07-04,1998-01-02
6972,Camtek Ltd,27,2020-01-24,2020-12-25
4112,"Northwest Biotherapeutics, Inc.",27,2015-03-13,2015-10-02
4779,"Red Roof Inns, Inc.",27,1997-07-11,1999-08-27
4717,Quintus Corporation,27,1999-12-03,2000-08-25
1258,"CitFed Bancorp, Inc.",27,1997-12-12,1998-06-19
2196,First Indiana,27,2005-11-04,2007-12-28
1155,CFX Corporation,27,1997-10-03,1998-04-03
7103,BRP Group Inc Class A,27,2020-06-26,2020-12-25
3014,International Fibercom Inc Com,27,2000-02-18,2000-09-22
7034,Workhorse Group Inc.,27,2020-06-26,2020-12-25
5455,"Support.com, Inc.",27,2000-08-04,2004-04-02
826,"Blue Martini Software, Inc.",27,2000-08-04,2001-02-09
6089,"Immunic, Inc.",28,2014-12-19,2015-07-17
7038,Navigator Holdings Ltd.,28,2019-10-04,2020-09-18
3004,Interwave Communctns Intl L Shs New,28,2000-02-04,2000-09-08
4289,"OTG Software, Inc.",28,2000-04-07,2000-11-17
3481,Magellan Midstream Hldgs Lp Com Lp Ints,28,2006-03-24,2006-09-29
5721,"Trans World Airlines, Inc.",28,1996-07-05,1998-07-17
5745,Travelzoo,28,2006-04-21,2011-10-28
3509,"Mannatech, Incorporated",28,2004-11-12,2006-10-13
5684,"TJ International, Inc.",28,1994-01-07,2000-01-28
5123,Shorewood Packaging Corporation,28,1998-12-25,2000-03-31
6723,"Net 1 UEPS Technologies, Inc.",28,2018-01-05,2018-08-10
2290,Forward Pharma A/S Sponsored ADR,28,2017-03-03,2017-09-08
3915,National Community Banks Inc.,28,1993-01-29,1993-08-06
6842,"Exela Technologies, Inc.",28,2018-10-05,2019-04-19
5476,Symbion Inc.,28,2005-05-06,2006-09-08
723,"Be Free, Inc.",28,1999-12-03,2000-07-07
5571,Telebanc Financial Corporation,28,1999-07-02,2000-01-07
4475,"Phoenix Investment Partners, Ltd.",28,2000-07-07,2001-01-26
75,Acterna Corp.,28,2001-07-06,2002-01-11
3115,JNI Corporation,29,2000-07-07,2001-01-26
2785,Houston American Energy Corp.,29,2010-11-19,2011-11-04
7088,"RAPT Therapeutics, Inc.",29,2020-01-03,2020-12-04
5305,"Spyglass, Inc.",29,1999-12-31,2000-07-21
3847,"MotivePower Industries, Inc.",29,1998-07-10,1999-07-09
7125,Viper Energy Partners LP,29,2020-04-10,2020-12-25
3519,MAP Pharmaceuticals Inc.,29,2010-12-31,2013-03-01
6227,"Wetterau, Inc.",29,1992-01-03,1992-10-30
1881,"Egghead.com, Inc.",29,1998-11-20,2000-01-14
6115,"Vyyo, Inc.",29,2000-05-05,2000-11-24
7051,OneSpaWorld Holdings Ltd.,29,2019-10-04,2020-12-25
1106,CEL-SCI Corporation,29,2020-01-24,2020-12-25
1734,"Discovery Zone, Inc.",29,1994-07-08,1995-04-14
6932,"GreenSky, Inc. Class A",29,2019-05-03,2020-02-28
927,Budget Group Inc.,29,1998-07-03,1999-06-04
3408,Live Microsystems Inc,29,1997-10-10,2000-12-01
159,"Agribrands International, Inc.",29,1999-08-27,2001-04-27
2025,Esmark,29,2004-12-03,2008-08-01
2947,Integon Corporation,29,1993-01-22,1993-08-13
2162,"Firepond, Inc.",30,2000-03-03,2000-09-22
3453,"Luminent, Inc.",30,2000-12-01,2001-06-29
3985,"Net2Phone, Inc.",30,2000-07-07,2001-06-15
1727,Direct General Corporation,30,2004-07-02,2005-01-21
1279,Clarent Corporation,30,2000-07-07,2001-02-16
3758,Midas Inc.,30,1998-11-06,1999-06-04
2436,GeoGlobal Resources Inc.,30,2005-12-02,2006-12-29
3008,"Intevac, Inc.",30,2006-03-24,2007-04-27
7166,UTZ Brands Inc Class A,30,2020-06-05,2020-12-25
3088,IXYS Corporation,30,2017-06-09,2017-12-29
367,Amicas,30,1999-07-02,2000-03-31
7036,"Prevail Therapeutics, Inc.",30,2019-12-06,2020-12-25
3058,"IPC Communications, Inc.",30,1999-07-09,2000-06-09
4872,"RightCHOICE Managed Care, Inc.",30,2001-07-06,2002-01-25
